                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.38045,                 0.2569,                0.85315,                0.96172,                 0.9563,                0.97507,                0.91686,                0.29453,                0.19601,                0.85538,               0.004951,               0.004951,               0.004951
                    105,                0.37897,                0.25674,                0.85589,                0.97713,                 0.9448,                0.97327,                0.91306,                0.30318,                0.19797,                0.85616,              0.0049015,              0.0049015,              0.0049015
                    106,                 0.3844,                0.25937,                0.85345,                0.97378,                0.94435,                0.97027,                0.91321,                0.29663,                0.20393,                0.85744,               0.004852,               0.004852,               0.004852
                    107,                0.37169,                0.25455,                0.85165,                0.97072,                 0.9529,                0.97292,                0.90984,                0.30475,                0.20434,                0.86593,              0.0048025,              0.0048025,              0.0048025
                    108,                0.36909,                0.25177,                0.85194,                0.96983,                0.94683,                0.97252,                0.91723,                0.29307,                0.20315,                0.85234,               0.004753,               0.004753,               0.004753
                    109,                0.38181,                0.26134,                0.85604,                0.97075,                0.94461,                0.97284,                0.91446,                0.29157,                0.20054,                0.85285,              0.0047035,              0.0047035,              0.0047035
                    110,                0.38697,                0.26127,                0.85779,                0.97595,                0.94789,                 0.9743,                0.91348,                0.29253,                0.19454,                0.85455,               0.004654,               0.004654,               0.004654
                    111,                 0.3754,                 0.2526,                 0.8515,                0.96488,                0.95471,                0.97295,                0.91799,                0.28184,                0.19477,                0.85672,              0.0046045,              0.0046045,              0.0046045
                    112,                 0.3843,                 0.2571,                0.85955,                0.97064,                0.95573,                0.97419,                0.91687,                 0.2937,                0.18986,                0.85822,               0.004555,               0.004555,               0.004555
                    113,                0.36604,                0.24763,                0.85063,                0.96983,                0.94651,                0.97117,                0.91187,                0.29909,                0.20234,                0.85834,              0.0045055,              0.0045055,              0.0045055
                    114,                0.38255,                0.26066,                0.85563,                0.96398,                 0.9375,                 0.9664,                0.90977,                0.29589,                0.20847,                0.85888,               0.004456,               0.004456,               0.004456
                    115,                0.37235,                0.25512,                0.85011,                0.97292,                0.94915,                0.97362,                0.91645,                0.29006,                0.19806,                 0.8565,              0.0044065,              0.0044065,              0.0044065
                    116,                0.36512,                0.25006,                0.84829,                0.96849,                0.95252,                0.97379,                0.91553,                0.28264,                 0.1877,                0.85546,               0.004357,               0.004357,               0.004357
                    117,                0.36861,                0.24873,                 0.8513,                0.97157,                0.95203,                0.97492,                0.91205,                0.29139,                0.18732,                0.86131,              0.0043075,              0.0043075,              0.0043075
                    118,                0.35611,                0.24302,                0.84829,                0.97098,                0.95472,                0.97146,                0.91332,                0.28546,                0.18733,                0.85753,               0.004258,               0.004258,               0.004258
                    119,                0.36834,                0.24696,                0.85416,                0.97334,                0.94941,                0.97371,                0.91303,                 0.2954,                0.19239,                 0.8588,              0.0042085,              0.0042085,              0.0042085
                    120,                 0.3655,                0.25047,                  0.852,                0.96882,                0.95554,                 0.9742,                0.91466,                0.29824,                0.19596,                0.85809,               0.004159,               0.004159,               0.004159
                    121,                0.36807,                0.24748,                0.84938,                0.97242,                0.94418,                0.97236,                0.91459,                0.28774,                0.18589,                0.85789,              0.0041095,              0.0041095,              0.0041095
                    122,                 0.3645,                0.24497,                0.85064,                0.97802,                 0.9501,                0.97463,                0.91884,                0.28837,                 0.1831,                0.85391,                0.00406,                0.00406,                0.00406
                    123,                0.35721,                0.24452,                0.84698,                 0.9744,                0.94974,                0.97154,                0.91077,                0.28862,                0.18522,                0.85756,              0.0040105,              0.0040105,              0.0040105
                    124,                0.35672,                0.24248,                0.84621,                0.97372,                0.95448,                0.97286,                0.91413,                0.28513,                 0.1839,                0.85532,               0.003961,               0.003961,               0.003961
                    125,                0.36208,                0.24508,                0.84806,                0.97749,                0.95281,                0.97551,                0.91636,                0.28332,                0.18851,                0.85461,              0.0039115,              0.0039115,              0.0039115
                    126,                0.35971,                0.24365,                0.84548,                0.97168,                0.94923,                0.97329,                0.91838,                 0.2872,                0.18482,                0.85744,               0.003862,               0.003862,               0.003862
